frame,time_s,role,speed_mps,cumulative_distance_m,rally_distance_m,max_speed_so_far_mps
160,7.619048,near,1.858000,21.591000,21.591000,1.858000
160,7.619048,far,0.904000,14.972000,14.972000,0.904000
161,7.666667,near,1.010000,21.645000,21.645000,1.010000
161,7.666667,far,0.729000,14.972000,14.972000,0.729000
162,7.714286,near,2.016000,21.933000,21.933000,2.016000
162,7.714286,far,0.555000,14.972000,14.972000,0.555000
163,7.761905,near,2.066000,22.025000,22.025000,2.066000
163,7.761905,far,0.352000,14.972000,14.972000,0.352000
164,7.809524,near,2.214000,22.122000,22.122000,2.214000
164,7.809524,far,0.000000,14.972000,14.972000,0.000000
165,7.857143,near,2.583000,22.329000,22.329000,2.583000
165,7.857143,far,0.000000,14.972000,14.972000,0.000000
166,7.904762,near,3.325000,22.541000,22.541000,3.325000
166,7.904762,far,0.413000,15.090000,15.090000,0.413000
167,7.952381,near,4.443000,22.915000,22.915000,4.443000
167,7.952381,far,0.786000,15.196000,15.196000,0.786000
168,8.000000,near,4.144000,23.117000,23.117000,4.144000
168,8.000000,far,1.028000,15.266000,15.266000,1.028000
169,8.047619,near,4.974000,23.446000,23.446000,4.974000
169,8.047619,far,1.089000,15.283000,15.283000,1.089000
170,8.095238,near,4.635000,23.446000,23.446000,4.635000
170,8.095238,far,1.212000,15.318000,15.318000,1.212000
171,8.142857,near,5.044000,23.770000,23.770000,5.044000
171,8.142857,far,1.212000,15.318000,15.318000,1.212000
172,8.190476,near,4.781000,23.907000,23.907000,4.781000
172,8.190476,far,0.861000,15.336000,15.336000,0.861000
173,8.238095,near,3.576000,23.937000,23.937000,3.576000
173,8.238095,far,0.488000,15.336000,15.336000,0.488000
174,8.285714,near,2.994000,23.972000,23.972000,2.994000
174,8.285714,far,0.246000,15.336000,15.336000,0.246000
175,8.333333,near,2.816000,24.251000,24.251000,2.816000
175,8.333333,far,0.396000,15.396000,15.396000,0.396000
176,8.380952,near,3.444000,24.430000,24.430000,3.444000
176,8.380952,far,0.334000,15.414000,15.414000,0.334000
177,8.428571,near,2.698000,24.541000,24.541000,2.698000
177,8.428571,far,0.514000,15.465000,15.465000,0.514000
178,8.476190,near,2.485000,24.617000,24.617000,2.485000
178,8.476190,far,0.515000,15.483000,15.483000,0.515000
179,8.523810,near,3.198000,24.850000,24.850000,3.198000
179,8.523810,far,0.987000,15.618000,15.618000,0.987000
180,8.571429,near,3.074000,24.850000,24.850000,3.074000
180,8.571429,far,0.987000,15.618000,15.618000,0.987000
181,8.619048,near,2.316000,24.913000,24.913000,2.316000
181,8.619048,far,0.901000,15.654000,15.654000,0.901000
182,8.666667,near,1.804000,24.946000,24.946000,1.804000
182,8.666667,far,1.011000,15.702000,15.702000,1.011000
183,8.714286,near,2.496000,25.254000,25.254000,2.496000
183,8.714286,far,1.010000,15.754000,15.754000,1.010000
184,8.761905,near,2.230000,25.254000,25.254000,2.230000
184,8.761905,far,1.293000,15.852000,15.852000,1.293000
185,8.809524,near,1.412000,25.254000,25.254000,1.412000
185,8.809524,far,1.009000,15.906000,15.906000,1.009000
186,8.857143,near,2.272000,25.500000,25.500000,2.272000
186,8.857143,far,1.601000,16.075000,16.075000,1.601000
187,8.904762,near,2.433000,25.608000,25.608000,2.433000
187,8.904762,far,1.645000,16.124000,16.124000,1.645000
188,8.952381,near,3.599000,25.974000,25.974000,3.599000
188,8.952381,far,1.656000,16.176000,16.176000,1.656000
189,9.000000,near,2.776000,26.047000,26.047000,2.776000
189,9.000000,far,1.539000,16.194000,16.194000,1.539000
190,9.047619,near,3.591000,26.280000,26.280000,3.591000
190,9.047619,far,1.194000,16.194000,16.194000,1.194000
